id,name,latitude,longitude
7665,"35th Street & Paulina",41.830449999999,-87.668061666665
7666,"35th Street & Ashland",41.830492705091,-87.665743231773
7667,"35th Street & Justine",41.830500699373,-87.664101719856
7668,"1349 W 35th Street",41.830536673632,-87.660706043243
7669,"35th Street & Iron",41.830544667908,-87.65943467617
7671,"35th Street & Aberdeen",41.830616616355,-87.653469443321
7672,"35th Street & Morgan",41.830656587679,-87.651082277298
7673,"35th Street & Lituanica",41.830684567592,-87.648636102676
7674,"35th Street & Halsted",41.830720541747,-87.646211385727
7675,"35th Street & Union",41.830764510131,-87.643840312958
7677,"35th Street & Normal",41.830812475606,-87.638888955116
7678,"35th Street & Shields",41.830860441046,-87.634838819504
7679,"35th Street & Wentworth",41.830904409333,-87.632081508636
7680,"Sox-35th Red Line Station",41.830868435282,-87.630681395531
7681,"35th Street & Federal",41.830940383365,-87.629072070122
7684,"35th Street & Michigan",41.831016328476,-87.623450160027
7686,"35th Street & Giles",41.83105629955,-87.61946439743
7687,"35th Street & King Drive",41.8310962706,-87.617576122284
7688,"Rhodes & 35th Street",41.831527956348,-87.613316774368
7689,"Rhodes & 33rd Place",41.833518469633,-87.613348960876
7693,"Harlem & Archer",41.791592704465,-87.80167222023
7694,"Harlem & 56th Street",41.790284831893,-87.801581025124
7695,"Harlem & 57th Street",41.788420967379,-87.801489830017
7696,"Harlem & 58th Street",41.78662104678,-87.801420092583
7697,"Harlem & 59th Street",41.78473707576,-87.801339626312
7698,"Harlem & 60th Street",41.782833048804,-87.801280617714
7699,"Harlem & 61st Street",41.781048972239,-87.801194787025
7700,"Harlem & 62nd Street",41.779200840586,-87.801125049591
7701,"Harlem & 63rd Street",41.777400661147,-87.800996303558
7703,"Harlem & 62nd Street",41.778972820652,-87.800824642181
7704,"Harlem & 61st Street",41.780872961995,-87.800915837288
7705,"Western Blvd & Archer",41.825707948002,-87.684357762337
7706,"Pershing & Western Boulevard",41.822985633366,-87.683901786804
7708,"Pershing & Leavitt",41.823029607062,-87.680082321167
7709,"Pershing & Hoyne",41.823061587914,-87.677512764931
7711,"Pershing & Wolcott",41.823101563955,-87.672781348228
7712,"Pershing & Paulina",41.823145537572,-87.667781710625
7713,"Pershing & Ashland ",41.823109559161,-87.665732502937
7714,"1501 W Pershing",41.823177518365,-87.663125395775
7715,"Pershing & Loomis",41.823197506353,-87.660684585571
7722,"Pershing & Normal",41.823525308461,-87.638760209084
7723,"Pershing & Canal",41.823541298765,-87.63746201992
7724,"Pershing & Princeton ",41.823581274507,-87.633985877037
7725,"Pershing & Wentworth",41.823629245365,-87.631539702415
7726,"Pershing & LaSalle",41.823645235643,-87.629769444466
7727,"Pershing & Federal ",41.823661225917,-87.628417611122
7728,"Pershing & State",41.823677216186,-87.626641988754
7729,"Pershing & Wabash",41.823697204018,-87.624984383583
7730,"Pershing & Michigan",41.823729184536,-87.623417973518
7731,"Pershing & Indiana",41.823753169914,-87.621454596519
7732,"Pershing & Giles",41.823785150404,-87.619163990021
7733,"Pershing & King Drive",41.823797143083,-87.617361545563
7734,"Pershing & King Drive",41.823817130878,-87.616631984711
7735,"Pershing & Rhodes",41.823833121108,-87.6144272089
7736,"Pershing & Vincennes",41.823849111335,-87.61287689209
7737,"Pershing & Langley",41.823881091777,-87.610033750534
7738,"Pershing & Cottage Grove",41.823825125993,-87.6070779562
7739,"Pershing & Ellis",41.824264855834,-87.605484724045
7741,"40th Street & Ellis",41.821954241641,-87.603676915169
7743,"Lake Park & 40th Street",41.822593866373,-87.602341175079
7744,"Lake Park & Oakwood",41.824256860773,-87.604132890701
7746,"Pershing & Cottage Grove",41.824060981465,-87.606772184372
7747,"Pershing & Langley",41.824005015839,-87.609776258469
7748,"Pershing & Vincennes",41.823909074651,-87.612447738647
7749,"Pershing & Rhodes",41.823897081992,-87.614234089851
7750,"Pershing & King Drive",41.823877094223,-87.616605162621
7751,"Pershing & King Drive",41.823853108892,-87.617490291595
7752,"Pershing & Giles",41.823845113779,-87.619078159332
7753,"Pershing & Indiana",41.823813133319,-87.621856927872
7754,"Pershing & Michigan",41.823789147964,-87.622994184494
7755,"Pershing & Wabash",41.823765162599,-87.624667882919
7757,"Pershing & Federal ",41.823717191844,-87.628841400146
7759,"Pershing & Wentworth",41.823873096668,-87.63136267662
7760,"Pershing & Princeton ",41.82365323078,-87.633996605873
7761,"Pershing & Canal",41.823601262369,-87.63732790947
7762,"Pershing & Normal",41.823593267225,-87.638486623764
7763,"Pershing & Wallace",41.823565284214,-87.640905976295
7767,"Pershing & Morgan",41.823413376223,-87.650615572929
7768,"1111 W Pershing",41.823377397962,-87.653485536575
7769,"Pershing & Loomis",41.823253472686,-87.660582661629
7770,"1501 W Pershing",41.82323748231,-87.663050293922
7771,"Pershing & Ashland ",41.823241479904,-87.665222883224
7772,"Pershing & Paulina",41.823297446198,-87.667674422264
7773,"Pershing & Wolcott",41.823249475092,-87.672802805901
7775,"Pershing & Hoyne",41.823125549568,-87.677539587021
7776,"Pershing & Leavitt",41.823089571145,-87.680055499077
7777,"2300 W Pershing",41.823065585519,-87.682571411133
7778,"Pershing & Western Boulevard",41.823037602277,-87.684094905853
7779,"Western Blvd & Archer",41.826127677845,-87.684282660484
7780,"38th Street & Homan",41.824396774198,-87.709538340569
7783,"St. Louis & Pershing",41.822601861642,-87.711818218231
7784,"Pershing & Homan",41.82251791127,-87.709232568741
7785,"Pershing & Spaulding",41.82254589474,-87.706925868988
7786,"36th Street & Albany",41.828122356344,-87.702253460884
7787,"36th Street & Sacramento",41.828162329226,-87.699801921844
7788,"36th Street & Francisco",41.828193333333,-87.697371666668
7789,"36th Street & California",41.828238277632,-87.694845199585
7790,"Pershing & Washtenaw",41.822869702567,-87.692023515701
7791,"Pershing & California",41.82281773352,-87.694448232651
7792,"Pershing & Francisco",41.822773759678,-87.696969509125
7793,"Pershing & Sacramento",41.822725788179,-87.699426412582
7794,"Pershing & Albany ",41.822669821386,-87.701818943024
7795,"Pershing & Kedzie",41.822645835602,-87.704254388809
7796,"Pershing & Spaulding",41.822605859276,-87.706759572029
7797,"Pershing & Homan",41.822569880561,-87.709195017815
7798,"Pershing & Kedzie",41.822577875833,-87.704672813416
7799,"Pershing & Albany ",41.822601861642,-87.702194452286
7800,"Pershing & Sacramento",41.822649833233,-87.699716091156
7801,"Pershing & Francisco",41.822701802416,-87.697243094444
